nombre,sexo,edad,RUT,correo,universidad,telefono,sector,carrera,año
"Tatiana Paulina, Sáez Aguilera",F,20,20.800.025-1,t.sáez@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6310-0140,Ingeniería y Tecnología,Ingeniería Civil Industrial,2
"Raquel Daniela, Montes Villalobos",F,26,19.304.479-8,r.montes@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6142-3223,Ingeniería y Tecnología,Ingeniería Civil en Computación,4
"Gaspar Benjamín, Díaz Montes",M,27,19.267.831-K,g.díaz61@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3968-6334,Ingeniería y Tecnología,Ingeniería Civil Industrial,4
"Cristián Félix, Palma Catalán",M,21,20.807.783-3,c.palma12@ug.uchile.cl,Universidad de Chile,+56 9 0816-7424,Ciencias de la Salud,Kinesiología,2
"Rodrigo Pedro, Orellana Lillo",M,26,19.911.381-3,r.orellana@ug.uchile.cl,Universidad de Chile,+56 9 3217-4301,Ciencias de la Salud,Kinesiología,5
"Urbano Zenón, Ávila Montes",M,30,18.902.710-K,u.ávila@ug.uchile.cl,Universidad de Chile,+56 9 2746-7038,Ciencias de la Salud,Medicina,6
"Kelvin Héctor, Ortiz Donoso",M,27,19.303.119-0,k.ortiz21@ug.uchile.cl,Universidad de Chile,+56 9 8149-6300,Ingeniería y Tecnología,Ingeniería Civil,4
"Jorge Alberto, Ibarra Sanchez",M,19,21.026.384-5,j.ibarra18@ug.uchile.cl,Universidad de Chile,+56 9 0359-8893,Ciencias Sociales y Humanidades,Trabajo Social,2
"Raúl Yerko, Catalán Ortiz",M,21,20.144.465-K,r.catalán54@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7326-4215,Arte y Diseño,Arte Digital,4
"Patricio Ulises, Oyarzún Bustos",M,29,18.993.669-1,p.oyarzún41@userena.cl,Universidad de La Serena,+56 9 5948-4109,Ingeniería y Tecnología,Ingeniería Civil en Computación,8
"Maximiliano Armando, Ríos Álvarez",M,30,18.427.307-7,m.ríos36@userena.cl,Universidad de La Serena,+56 9 7666-8846,Ciencias Sociales y Humanidades,Trabajo Social,7
"Federico Pedro, Rivas Toro",M,28,18.268.040-9,f.rivas@ug.uchile.cl,Universidad de Chile,+56 9 7798-3291,Ciencias Naturales,Geología,6
"Marcela Claudia, Sanchez Silva",F,19,21.517.935-1,m.sanchez@puc.cl,Pontificia Universidad Católica de Chile,+56 9 4620-2416,Ingeniería y Tecnología,Ingeniería Civil Mecánica,1
"Benjamín Joaquín, Ovalle Riquelme",M,25,19.515.143-7,b.ovalle@ug.uchile.cl,Universidad de Chile,+56 9 2075-1313,Ingeniería y Tecnología,Ingeniería Civil en Computación,6
"Yolanda Rita, Donoso Escobar",F,29,18.220.327-0,yolanda.donoso@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7457-4335,Ciencias Naturales,Química,8
"Nicolás Xavier, Castro Villalobos",M,18,21.308.283-9,n.castro45@userena.cl,Universidad de La Serena,+56 9 4476-9820,Ingeniería y Tecnología,Ingeniería Civil en Computación,2
"Valentín Valentín, Venegas Vergara",M,27,19.345.552-K,v.venegas@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2365-4210,Ingeniería y Tecnología,Ingeniería Civil Industrial,6
"Oscar Urbano, Cádiz Fernández",M,22,20.513.468-1,o.cádiz@usach.cl,Universidad de Santiago de Chile,+56 9 7524-9979,Ingeniería y Tecnología,Ingeniería Civil en Computación,4
"Luis Ulises, Fernández Osorio",M,26,19.485.110-6,l.fernández3@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3884-5505,Ingeniería y Tecnología,Ingeniería Civil en Computación,5
"Wendy Camelia, Mora Figueroa",F,26,19.992.108-0,w.mora47@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9135-9023,Ciencias Sociales y Humanidades,Derecho,5
"Antonia Mónica, Tapia Orellana",F,19,21.743.498-4,a.tapia@userena.cl,Universidad de La Serena,+56 9 2378-5915,Ciencias Naturales,Geología,2
"Rafael René, Vargas Ávila",M,27,19.013.663-K,r.vargas@ua.cl,Universidad Austral de Chile,+56 9 9495-1760,Ingeniería y Tecnología,Ingeniería Civil,4
"Fernando Julio, López Jiménez",M,29,18.603.144-1,fernando.lópez@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8505-4333,Ciencias de la Salud,Kinesiología,6
"Jorge Jorge, Orellana Tapia",M,19,21.305.519-K,j.orellana@ug.uchile.cl,Universidad de Chile,+56 9 3910-6450,Ingeniería y Tecnología,Ingeniería Civil en Computación,1
