nombre,sexo,edad,RUT,correo,universidad,telefono,sector,carrera,año,postulacion,empresa
"Tobías Víctor, Morales Peña",Hombre,21,20.749.153-7,t.morales0@udec.cl,Universidad de Concepción,+56 9 4630-5173,Ingeniería y Tecnología,Ingeniería Civil Mecánica,4,Practicante en Fabricación de Maquinaria,Intel
"Tobías Mario, Cuevas Cortés",Hombre,25,19.586.166-7,tobías.c55@udp.cl,Universidad Diego Portales,+56 9 5568-2663,Ingeniería y Tecnología,Ingeniería Civil,6,Practicante en Vías y Transporte,Oracle
"Belen Celia, Silva Cáceres",Mujer,18,21.620.800-9,b.silva@ug.uchile.cl,Universidad de Chile,+56 9 3886-9841,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,1,Practicante en Automatización,Intel
"Rita Celia, Avendaño Tapia",Mujer,26,19.944.148-1,rita.a29@udp.cl,Universidad Diego Portales,+56 9 6595-8129,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,6,Practicante en Electrónica de Potencia,Intel
"Emilio Benjamín, Riquelme Vidal",Hombre,29,18.273.399-7,e.riquelme78@puc.cl,Pontificia Universidad Católica de Chile,+56 9 1489-5689,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,8,Practicante en Automatización,IBM
"Marcelo Fernando, Valencia Cuevas",Hombre,20,20.182.304-8,marcelo.valencia@userena.cl,Universidad de La Serena,+56 9 0745-7822,Ingeniería y Tecnología,Ingeniería Civil,4,Practicante en Ingeniería Estructural,Google
"Ximeno Daniel, Sáez Lagos",Hombre,18,21.976.175-7,x.sáez9@userena.cl,Universidad de La Serena,+56 9 6139-5611,Ingeniería y Tecnología,Ingeniería Civil Mecánica,3,Practicante en Diseño Mecánico,Cisco
"Flavio Martín, Cáceres Venegas",Hombre,23,20.065.397-5,f.cáceres20@uai.cl,Universidad Adolfo Ibáñez,+56 9 7441-8976,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,3,Practicante en Sistemas de Control,Facebook
"Mónica Cecilia, Ortiz Cáceres",Mujer,20,20.751.289-3,m.ortiz43@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3797-0740,Ciencias de la Salud,Medicina,4,Practicante en Ginecología,Clínica Indisa
"Marjorie Margarita, Vergara Baeza",Mujer,27,19.853.668-2,marjorie.v37@ug.uchile.cl,Universidad de Chile,+56 9 7011-8484,Ciencias de la Salud,Medicina,6,Practicante en Medicina General,Hospital San Juan de Dios
"Álvaro Raúl, Guzmán Poblete",Hombre,22,20.646.053-8,álvaro.g92@ug.uchile.cl,Universidad de Chile,+56 9 6676-1366,Ciencias Sociales y Humanidades,Derecho,2,Practicante en Derecho Penal,Banco Estado
"Catalina Susana, Montes Jiménez",Mujer,24,19.781.133-2,c.montes59@udec.cl,Universidad de Concepción,+56 9 8271-4455,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,6,Practicante en Electrónica de Potencia,SpaceX
